Line_index,Line_start,Line_end,Line
172,20,69,"[ -1.0292436595201409,50.91331731769251],[ -1.0292436595201409,50.91331731769251]"
173,20,70,"[ -1.0292436595201409,50.91331731769251],[ -1.0292436595201409,50.91331731769251]"
174,20,71,"[ -1.0292436595201409,50.91331731769251],[ -1.0292436595201409,50.91331731769251]"
175,21,72,"[ -3.9025597150035884,50.79674493712362],[ -3.9025597150035884,50.79674493712362]"
176,21,73,"[ -3.9025597150035884,50.79674493712362],[ -3.9025597150035884,50.79674493712362]"
177,74,77,"[ -0.9098481700663408,51.927198601260926],[ -0.9098481700663408,51.927198601260926]"
178,79,78,"[ -4.686733569759012,55.83714472648713],[ -4.686733569759012,55.83714472648713]"
179,78,80,"[ -4.686733569759012,55.83714472648713],[ -4.686733569759012,55.83714472648713]"
180,78,81,"[ -4.686733569759012,55.83714472648713],[ -4.686733569759012,55.83714472648713]"
181,78,82,"[ -4.686733569759012,55.83714472648713],[ -4.686733569759012,55.83714472648713]"
182,132,78,"[ -4.163496630203753,56.759351018175245],[ -4.686733569759012,55.83714472648713]"
183,83,84,"[ -3.905306195894084,56.020913254753395],[ -3.905306195894084,56.020913254753395]"
184,83,85,"[ -3.905306195894084,56.020913254753395],[ -3.905306195894084,56.020913254753395]"
185,86,87,"[ -3.6853005430154684,56.050371797302205],[ -3.6853005430154684,56.050371797302205]"
186,86,88,"[ -3.6853005430154684,56.050371797302205],[ -3.6853005430154684,56.050371797302205]"
187,86,89,"[ -3.6853005430154684,56.050371797302205],[ -3.6853005430154684,56.050371797302205]"
188,91,94,"[ -4.8981427957503,55.7234579129827],[ -4.8981427957503,55.7234579129827]"
189,91,95,"[ -4.8981427957503,55.7234579129827],[ -4.8981427957503,55.7234579129827]"
190,97,96,"[ -4.42491307796785,55.78552055767659],[ -4.42491307796785,55.78552055767659]"
191,96,98,"[ -4.42491307796785,55.78552055767659],[ -4.42491307796785,55.78552055767659]"
192,100,99,"[ -4.064340478966536,55.67560180507288],[ -4.064340478966536,55.67560180507288]"
193,100,99,"[ -4.064340478966536,55.67560180507288],[ -4.064340478966536,55.67560180507288]"
194,100,101,"[ -4.064340478966536,55.67560180507288],[ -4.064340478966536,55.67560180507288]"
195,100,102,"[ -4.064340478966536,55.67560180507288],[ -4.064340478966536,55.67560180507288]"
196,100,103,"[ -4.064340478966536,55.67560180507288],[ -4.064340478966536,55.67560180507288]"
197,104,105,"[ -4.359012377617037,57.31198128393078],[ -4.359012377617037,57.31198128393078]"
198,104,106,"[ -4.359012377617037,57.31198128393078],[ -4.359012377617037,57.31198128393078]"
199,104,107,"[ -4.359012377617037,57.31198128393078],[ -4.359012377617037,57.31198128393078]"
200,110,108,"[ -2.3405547129104325,53.48221715459604],[ -2.3405547129104325,53.48221715459604]"
201,110,109,"[ -2.3405547129104325,53.48221715459604],[ -2.3405547129104325,53.48221715459604]"
202,110,113,"[ -2.3405547129104325,53.48221715459604],[ -2.3405547129104325,53.48221715459604]"
203,114,115,"[ -4.460295658391722,57.483439162815394],[ -4.460295658391722,57.483439162815394]"
204,114,116,"[ -4.460295658391722,57.483439162815394],[ -4.460295658391722,57.483439162815394]"
205,114,117,"[ -4.460295658391722,57.483439162815394],[ -4.460295658391722,57.483439162815394]"
206,114,118,"[ -4.460295658391722,57.483439162815394],[ -4.460295658391722,57.483439162815394]"
207,114,119,"[ -4.460295658391722,57.483439162815394],[ -4.460295658391722,57.483439162815394]"
208,120,121,"[ -4.191457809827574,55.874011005264165],[ -4.191457809827574,55.874011005264165]"
209,120,122,"[ -4.191457809827574,55.874011005264165],[ -4.191457809827574,55.874011005264165]"
210,123,124,"[ -1.7841285242062415,57.50806535246214],[ -1.7841285242062415,57.50806535246214]"
211,123,125,"[ -1.7841285242062415,57.50806535246214],[ -1.7841285242062415,57.50806535246214]"
212,123,126,"[ -1.7841285242062415,57.50806535246214],[ -1.7841285242062415,57.50806535246214]"
213,123,127,"[ -1.7841285242062415,57.50806535246214],[ -1.7841285242062415,57.50806535246214]"
214,128,129,"[ -2.346052379862795,57.2331743576788],[ -2.346052379862795,57.2331743576788]"
215,130,131,"[ -2.9567899398173636,56.53378160019205],[ -2.9567899398173636,56.53378160019205]"
216,132,130,"[ -4.163496630203753,56.759351018175245],[ -2.9567899398173636,56.53378160019205]"
217,133,132,"[ -4.163496630203753,56.759351018175245],[ -4.163496630203753,56.759351018175245]"
218,132,136,"[ -4.163496630203753,56.759351018175245],[ -4.163496630203753,56.759351018175245]"
219,133,135,"[ -4.163496630203753,56.759351018175245],[ -4.163496630203753,56.759351018175245]"
